image_id,file_name,prediction,reference_1
397278,COCO_val2014_000000397278.jpg,a man is on a <unk>,A yellow sign sitting on the side of a road.
37875,COCO_val2014_000000037875.jpg,a man is on a <unk>,A boy holding an umbrella standing on a street.
437898,COCO_val2014_000000437898.jpg,a man is on a <unk>,A medium sized home kitchen with wood cabinets.
24144,COCO_val2014_000000024144.jpg,a man is on a <unk>,A pizza sitting on top of a pizza box covered in cheese.
271206,COCO_val2014_000000271206.jpg,a man is on a <unk>,A white sink sitting underneath a round mirror.
82835,COCO_val2014_000000082835.jpg,a man is on a <unk>,A man and dog that is sitting in a ski lift.
103030,COCO_val2014_000000103030.jpg,a man is on a <unk>,Two tables filled with food under a red tent.
560332,COCO_val2014_000000560332.jpg,a man is on a <unk>,A suitcase sitting on a bench in front of a bed.
371782,COCO_val2014_000000371782.jpg,a man is on a <unk>,A teddy bear holding up miniature replica pizza boxes.
409239,COCO_val2014_000000409239.jpg,a man is on a <unk>,An uneaten traditional pizza served at a table.
524977,COCO_val2014_000000524977.jpg,a man is on a <unk>,A metal stove and a counter in a room.
248231,COCO_val2014_000000248231.jpg,a man is on a <unk>,A white toilet sitting in a bathroom next to a sink.
313214,COCO_val2014_000000313214.jpg,a man is on a <unk>,A group of people flying kites at the beach.
522156,COCO_val2014_000000522156.jpg,a man is on a <unk>,A cracker is on a plate next to some mint.
386585,COCO_val2014_000000386585.jpg,a man is on a <unk>,A very large get liner flying in the sky.
19667,COCO_val2014_000000019667.jpg,a man is on a <unk>,Two soccer teams playing against each other on a field.
17482,COCO_val2014_000000017482.jpg,a man is on a <unk>,A baseball player swings through the pitch while the catcher awaits the ball.
337619,COCO_val2014_000000337619.jpg,a man is on a <unk>,Two people sitting on a bench looking out at city.
572956,COCO_val2014_000000572956.jpg,a man is on a <unk>,A row of motorcycles parked next to a building.
202298,COCO_val2014_000000202298.jpg,a man is on a <unk>,Two zebras are grazing next to each other near a fence.
64574,COCO_val2014_000000064574.jpg,a man is on a <unk>,A set of women's personal care items sitting on a bed.
313585,COCO_val2014_000000313585.jpg,a man is on a <unk>,A living room with white furniture and a flat screen TV surrounded by book on book shelves.
518873,COCO_val2014_000000518873.jpg,a man is on a <unk>,The hotel room is cluttered with personal items.
301799,COCO_val2014_000000301799.jpg,a man is on a <unk>,"A sandwich, carrots and strawberries in a lunch box."
128014,COCO_val2014_000000128014.jpg,a man is on a <unk>,A bedroom with open doors to a bathroom.
370116,COCO_val2014_000000370116.jpg,a man is on a <unk>,This is some pink luggage that is sitting together in a group.
301014,COCO_val2014_000000301014.jpg,a man is on a <unk>,two cats sitting side by side eating out of a dish
431573,COCO_val2014_000000431573.jpg,a man is on a <unk>,A red fire hydrant is leaking onto a side walk.
448117,COCO_val2014_000000448117.jpg,a man is on a <unk>,A group of people carrying ski equipment while walking on snow covered ground.
422545,COCO_val2014_000000422545.jpg,a man is on a <unk>,A surfer hits a wipe out on a big wave.
448923,COCO_val2014_000000448923.jpg,a man is on a <unk>,A very long submarine sandwich sitting on a table next to bottles of alcohol.
132316,COCO_val2014_000000132316.jpg,a man is on a <unk>,Creamed filled donuts on top of cupcake holders.
435598,COCO_val2014_000000435598.jpg,a man is on a <unk>,A woman standing in behind a tray of donuts.
245576,COCO_val2014_000000245576.jpg,a man is on a <unk>,An orange cat sitting on top of a computer desk.
95516,COCO_val2014_000000095516.jpg,a man is on a <unk>,A pick up truck filled with wood in it's flat bed.
384038,COCO_val2014_000000384038.jpg,a man is on a <unk>,A young boy leaning up against an iron fence.
47181,COCO_val2014_000000047181.jpg,a man is on a <unk>,A group of girls play frisbee outside together
438807,COCO_val2014_000000438807.jpg,a man is on a <unk>,A person on a surfboard in the water.
570632,COCO_val2014_000000570632.jpg,a man is on a <unk>,A couple of men riding on the backs of horses.
549683,COCO_val2014_000000549683.jpg,a man is on a <unk>,A man trying to snowboard in the dark.
138806,COCO_val2014_000000138806.jpg,a man is on a <unk>,this kitchen is very big and has wood cainets
47121,COCO_val2014_000000047121.jpg,a man is on a <unk>,A cat standing on the edge of a sink drink water.
